ticker,tp_pct,sl_pct,trades,win_rate,avg_pnl,avg_win,avg_loss,best,worst,avg_hold,final_cap,total_ret,cagr,max_dd,calmar,tp_hits,sl_hits,score_exits,time_exits
HBLENGINE.NS,2.0,10.0,10,80.0,1.71,3.95,-7.24,8.43,-8.27,7.1,117103.85,17.1,13.66,9.43,1.45,8,0,2,0
BSE.NS,2.0,10.0,55,76.4,3.48,6.74,-7.07,21.88,-13.8,7.4,575204.92,475.2,31.3,20.67,1.51,42,3,10,0
ANANDRATHI.NS,2.0,20.0,36,75.0,1.73,3.64,-4.0,10.5,-7.75,11.3,179555.05,79.56,14.82,18.19,0.81,26,0,9,1
KARURVYSYA.NS,2.0,10.0,53,73.6,2.3,5.17,-5.7,20.06,-9.49,9.5,304740.4,204.74,18.94,15.94,1.19,38,1,14,0
HINDALCO.NS,2.0,15.0,59,72.9,1.46,4.04,-5.5,8.34,-13.01,6.9,219786.95,119.79,13.04,14.05,0.93,44,1,14,0
ASTERDM.NS,2.0,10.0,59,71.2,2.05,5.24,-5.84,17.06,-9.6,10.5,298470.35,198.47,18.55,22.67,0.82,43,0,16,0
BAJFINANCE.NS,2.0,15.0,44,70.5,1.31,3.54,-4.0,8.09,-7.35,9.4,171820.88,71.82,8.79,17.69,0.5,30,0,14,0
FORTIS.NS,2.0,20.0,57,70.2,1.31,3.96,-4.92,6.9,-9.41,9.9,198983.95,98.98,11.3,22.49,0.5,40,0,17,0
SHRIRAMFIN.NS,2.0,25.0,60,70.0,1.3,4.3,-5.69,20.07,-10.24,8.4,200250.25,100.25,11.41,28.35,0.4,42,0,18,0
CHOLAFIN.NS,2.0,20.0,60,70.0,1.32,4.44,-5.96,19.5,-11.86,7.4,200466.1,100.47,11.43,28.69,0.4,42,0,18,0
CUMMINSIND.NS,2.0,25.0,53,69.8,1.16,4.1,-5.62,13.81,-14.72,8.2,171122.5,71.12,8.72,23.97,0.36,37,0,16,0
HEROMOTOCO.NS,2.0,15.0,42,69.0,1.12,3.43,-4.05,8.28,-9.39,8.0,153891.15,53.89,6.94,13.46,0.52,29,0,13,0
LAURUSLABS.NS,3.0,5.0,53,67.9,1.54,4.73,-5.21,12.61,-8.83,9.5,210383.65,110.38,12.27,24.93,0.49,36,12,5,0
TVSMOTOR.NS,2.0,10.0,58,67.2,0.87,3.53,-4.59,5.93,-8.23,9.9,156628.7,56.63,7.23,24.88,0.29,39,0,19,0
MARUTI.NS,2.0,20.0,53,66.0,1.46,3.77,-3.04,9.58,-6.41,8.6,203464.55,103.46,11.69,9.99,1.17,35,0,18,0
CANBK.NS,2.0,25.0,54,64.8,0.37,3.78,-5.9,12.0,-15.43,7.4,113218.74,13.22,1.95,27.7,0.07,35,0,19,0
INDIANB.NS,2.0,20.0,58,63.8,0.99,5.05,-6.15,17.48,-13.23,8.3,158888.1,58.89,7.47,26.47,0.28,38,0,20,0
BHARTIARTL.NS,2.0,25.0,58,63.8,0.79,3.32,-3.65,6.53,-10.74,10.5,151943.15,51.94,6.73,14.28,0.47,37,0,21,0
RBLBANK.NS,2.0,10.0,60,63.3,0.82,4.65,-5.79,24.88,-10.98,7.3,147287.25,47.29,6.21,30.87,0.2,39,2,19,0
MUTHOOTFIN.NS,2.0,25.0,58,62.1,0.64,4.2,-5.18,11.21,-13.0,8.6,134021.45,34.02,4.66,24.97,0.19,35,0,23,0
ABCAPITAL.NS,2.0,20.0,58,62.1,0.71,4.62,-5.69,11.29,-11.63,7.7,138086.48,38.09,5.15,38.82,0.13,36,0,22,0
GMRINFRA.NS,2.0,20.0,47,61.7,0.93,5.93,-7.13,15.9,-15.59,7.3,136246.16,36.25,6.13,28.25,0.22,29,0,18,0
FEDERALBNK.NS,2.0,15.0,64,59.4,0.51,3.89,-4.42,10.59,-8.64,8.9,129804.47,29.8,4.14,28.31,0.15,39,0,25,0
INDIGO.NS,2.0,10.0,61,59.0,0.58,4.46,-5.0,17.95,-18.29,7.4,128976.2,28.98,4.04,30.11,0.13,36,1,24,0
EICHERMOT.NS,2.0,25.0,53,58.5,0.44,3.54,-3.93,8.16,-7.08,8.3,120897.09,20.9,3.0,30.29,0.1,31,0,22,0
AUBANK.NS,3.0,25.0,45,57.8,0.79,4.77,-4.66,9.05,-9.92,10.5,134483.33,34.48,4.72,20.58,0.23,26,0,19,0
M&M.NS,2.0,20.0,58,56.9,0.46,6.29,-7.23,30.37,-14.23,6.7,105280.67,5.28,0.8,62.36,0.01,34,0,24,0
ASIANPAINT.NS,2.0,20.0,48,56.2,-0.01,3.3,-4.27,6.8,-8.35,9.9,95740.9,-4.26,-0.68,23.57,-0.03,27,0,21,0
CUB.NS,2.0,5.0,52,53.8,-0.37,3.99,-5.47,7.77,-9.38,7.6,77046.77,-22.95,-3.98,39.87,-0.1,28,12,12,0
UPL.NS,2.0,15.0,57,52.6,-0.52,3.65,-5.15,8.94,-15.14,8.2,69211.71,-30.79,-5.57,54.39,-0.1,31,0,26,0
PTCIL.NS,2.0,20.0,20,40.0,0.28,9.16,-5.65,18.62,-8.89,8.4,100285.15,0.29,0.1,26.7,0.0,8,0,12,0
