ticker,tp_pct,sl_pct,trades,win_rate,avg_pnl,avg_win,avg_loss,best,worst,avg_hold,final_cap,total_ret,cagr,max_dd,calmar,tp_hits,sl_hits,score_exits,time_exits
BSE.NS,2.0,10.0,55,76.4,3.55,6.74,-6.74,21.88,-13.8,7.1,602078.49,502.08,32.24,20.66,1.56,42,1,12,0
BSE.NS,2.0,25.0,55,76.4,3.55,6.74,-6.74,21.88,-13.8,7.1,602078.49,502.08,32.24,20.66,1.56,42,0,13,0
BSE.NS,2.0,15.0,55,76.4,3.55,6.74,-6.74,21.88,-13.8,7.1,602078.49,502.08,32.24,20.66,1.56,42,0,13,0
BSE.NS,2.0,20.0,55,76.4,3.55,6.74,-6.74,21.88,-13.8,7.1,602078.49,502.08,32.24,20.66,1.56,42,0,13,0
ANANDRATHI.NS,2.0,10.0,37,73.0,1.4,3.19,-3.45,10.5,-6.55,8.9,163057.25,63.06,12.24,13.7,0.89,24,0,11,2
ANANDRATHI.NS,2.0,15.0,37,73.0,1.4,3.19,-3.45,10.5,-6.55,8.9,163057.25,63.06,12.24,13.7,0.89,24,0,11,2
ANANDRATHI.NS,2.0,20.0,37,73.0,1.4,3.19,-3.45,10.5,-6.55,8.9,163057.25,63.06,12.24,13.7,0.89,24,0,11,2
ANANDRATHI.NS,2.0,5.0,37,73.0,1.4,3.19,-3.44,10.5,-6.55,8.7,163235.26,63.24,12.26,13.56,0.9,24,4,7,2
ANANDRATHI.NS,2.0,25.0,37,73.0,1.4,3.19,-3.45,10.5,-6.55,8.9,163057.25,63.06,12.24,13.7,0.89,24,0,11,2
HBLENGINE.NS,2.0,25.0,11,72.7,1.16,4.22,-7.0,8.43,-9.46,5.7,111759.85,11.76,9.44,9.42,1.0,8,0,3,0
HBLENGINE.NS,2.0,15.0,11,72.7,1.16,4.22,-7.0,8.43,-9.46,5.7,111759.85,11.76,9.44,9.42,1.0,8,0,3,0
HBLENGINE.NS,2.0,10.0,11,72.7,1.16,4.22,-7.0,8.43,-9.46,5.7,111759.85,11.76,9.44,9.42,1.0,8,0,3,0
HBLENGINE.NS,2.0,5.0,11,72.7,1.16,4.22,-7.0,8.43,-9.46,5.7,111759.85,11.76,9.44,9.42,1.0,8,2,1,0
HBLENGINE.NS,2.0,20.0,11,72.7,1.16,4.22,-7.0,8.43,-9.46,5.7,111759.85,11.76,9.44,9.42,1.0,8,0,3,0
KARURVYSYA.NS,2.0,25.0,54,70.4,2.08,5.07,-5.0,20.06,-8.61,9.0,280599.1,180.6,17.42,18.57,0.94,37,0,17,0
BSE.NS,3.0,15.0,54,70.4,3.19,7.32,-6.61,21.88,-13.8,7.9,474852.37,374.85,27.44,26.84,1.02,38,0,16,0
BSE.NS,3.0,20.0,54,70.4,3.19,7.32,-6.61,21.88,-13.8,7.9,474852.37,374.85,27.44,26.84,1.02,38,0,16,0
BSE.NS,3.0,10.0,54,70.4,3.19,7.32,-6.61,21.88,-13.8,7.9,474852.37,374.85,27.44,26.84,1.02,38,1,15,0
BSE.NS,3.0,25.0,54,70.4,3.19,7.32,-6.61,21.88,-13.8,7.9,474852.37,374.85,27.44,26.84,1.02,38,0,16,0
KARURVYSYA.NS,2.0,10.0,54,70.4,2.08,5.07,-5.0,20.06,-8.61,9.0,280599.1,180.6,17.42,18.57,0.94,37,0,17,0
KARURVYSYA.NS,2.0,20.0,54,70.4,2.08,5.07,-5.0,20.06,-8.61,9.0,280599.1,180.6,17.42,18.57,0.94,37,0,17,0
KARURVYSYA.NS,2.0,15.0,54,70.4,2.08,5.07,-5.0,20.06,-8.61,9.0,280599.1,180.6,17.42,18.57,0.94,37,0,17,0
HINDALCO.NS,2.0,5.0,60,70.0,1.37,4.04,-4.85,8.34,-13.01,6.6,213457.45,113.46,12.53,14.03,0.89,43,7,10,0
HINDALCO.NS,2.0,25.0,60,70.0,1.37,4.04,-4.85,8.34,-13.01,6.6,213457.45,113.46,12.53,14.03,0.89,43,0,17,0
HINDALCO.NS,2.0,20.0,60,70.0,1.37,4.04,-4.85,8.34,-13.01,6.6,213457.45,113.46,12.53,14.03,0.89,43,0,17,0
HINDALCO.NS,2.0,10.0,60,70.0,1.37,4.04,-4.85,8.34,-13.01,6.6,213457.45,113.46,12.53,14.03,0.89,43,1,16,0
HINDALCO.NS,2.0,15.0,60,70.0,1.37,4.04,-4.85,8.34,-13.01,6.6,213457.45,113.46,12.53,14.03,0.89,43,0,17,0
BSE.NS,2.0,5.0,58,69.0,2.92,6.77,-5.64,21.88,-10.27,6.5,468177.62,368.18,27.16,16.94,1.6,40,15,3,0
HINDALCO.NS,3.0,25.0,57,68.4,2.05,5.15,-4.68,10.22,-13.01,8.1,295563.05,195.56,18.37,14.04,1.31,39,0,18,0
HINDALCO.NS,3.0,5.0,57,68.4,2.05,5.15,-4.68,10.22,-13.01,8.1,295563.05,195.56,18.37,14.04,1.31,39,7,11,0
HINDALCO.NS,3.0,15.0,57,68.4,2.05,5.15,-4.68,10.22,-13.01,8.1,295563.05,195.56,18.37,14.04,1.31,39,0,18,0
HINDALCO.NS,3.0,20.0,57,68.4,2.05,5.15,-4.68,10.22,-13.01,8.1,295563.05,195.56,18.37,14.04,1.31,39,0,18,0
HINDALCO.NS,3.0,10.0,57,68.4,2.05,5.15,-4.68,10.22,-13.01,8.1,295563.05,195.56,18.37,14.04,1.31,39,1,17,0
KARURVYSYA.NS,3.0,10.0,50,68.0,2.33,5.97,-5.41,20.06,-8.92,10.2,288220.45,188.22,17.91,18.57,0.96,33,0,17,0
KARURVYSYA.NS,3.0,15.0,50,68.0,2.33,5.97,-5.41,20.06,-8.92,10.2,288220.45,188.22,17.91,18.57,0.96,33,0,17,0
KARURVYSYA.NS,3.0,20.0,50,68.0,2.33,5.97,-5.41,20.06,-8.92,10.2,288220.45,188.22,17.91,18.57,0.96,33,0,17,0
KARURVYSYA.NS,3.0,25.0,50,68.0,2.33,5.97,-5.41,20.06,-8.92,10.2,288220.45,188.22,17.91,18.57,0.96,33,0,17,0
BAJFINANCE.NS,2.0,20.0,45,66.7,1.12,3.59,-3.81,8.09,-7.35,8.8,159726.72,59.73,7.56,17.71,0.43,29,0,16,0
BAJFINANCE.NS,2.0,15.0,45,66.7,1.12,3.59,-3.81,8.09,-7.35,8.8,159726.72,59.73,7.56,17.71,0.43,29,0,16,0
LAURUSLABS.NS,3.0,15.0,54,66.7,1.41,4.73,-5.23,12.61,-8.83,9.0,198738.2,98.74,11.28,25.5,0.44,36,0,18,0
LAURUSLABS.NS,3.0,25.0,54,66.7,1.41,4.73,-5.23,12.61,-8.83,9.0,198738.2,98.74,11.28,25.5,0.44,36,0,18,0
LAURUSLABS.NS,2.0,15.0,57,66.7,1.0,4.03,-5.08,12.61,-8.83,7.5,165308.53,65.31,8.14,29.81,0.27,39,0,18,0
BAJFINANCE.NS,2.0,25.0,45,66.7,1.12,3.59,-3.81,8.09,-7.35,8.8,159726.72,59.73,7.56,17.71,0.43,29,0,16,0
BAJFINANCE.NS,2.0,10.0,45,66.7,1.12,3.59,-3.81,8.09,-7.35,8.8,159726.72,59.73,7.56,17.71,0.43,29,0,16,0
ANANDRATHI.NS,3.0,15.0,36,66.7,1.81,4.56,-3.69,10.5,-6.55,11.4,183728.97,83.73,15.44,12.15,1.27,21,0,13,2
ANANDRATHI.NS,3.0,5.0,36,66.7,1.81,4.56,-3.68,10.5,-6.55,11.2,183995.82,84.0,15.48,12.08,1.28,21,5,8,2
ANANDRATHI.NS,3.0,20.0,36,66.7,1.81,4.56,-3.69,10.5,-6.55,11.4,183728.97,83.73,15.44,12.15,1.27,21,0,13,2
ANANDRATHI.NS,3.0,10.0,36,66.7,1.81,4.56,-3.69,10.5,-6.55,11.4,183728.97,83.73,15.44,12.15,1.27,21,0,13,2
ANANDRATHI.NS,3.0,25.0,36,66.7,1.81,4.56,-3.69,10.5,-6.55,11.4,183728.97,83.73,15.44,12.15,1.27,21,0,13,2
LAURUSLABS.NS,2.0,10.0,57,66.7,1.0,4.03,-5.08,12.61,-8.83,7.5,165308.53,65.31,8.14,29.81,0.27,39,0,18,0
LAURUSLABS.NS,2.0,20.0,57,66.7,1.0,4.03,-5.08,12.61,-8.83,7.5,165308.53,65.31,8.14,29.81,0.27,39,0,18,0
LAURUSLABS.NS,2.0,25.0,57,66.7,1.0,4.03,-5.08,12.61,-8.83,7.5,165308.53,65.31,8.14,29.81,0.27,39,0,18,0
LAURUSLABS.NS,3.0,10.0,54,66.7,1.41,4.73,-5.23,12.61,-8.83,9.0,198738.2,98.74,11.28,25.5,0.44,36,0,18,0
LAURUSLABS.NS,3.0,20.0,54,66.7,1.41,4.73,-5.23,12.61,-8.83,9.0,198738.2,98.74,11.28,25.5,0.44,36,0,18,0
TVSMOTOR.NS,2.0,5.0,61,65.6,0.89,3.38,-3.86,6.9,-8.23,8.2,163756.25,63.76,7.98,26.21,0.3,38,7,16,0
TVSMOTOR.NS,2.0,20.0,61,65.6,0.88,3.38,-3.9,6.9,-8.23,8.6,162179.3,62.18,7.82,27.13,0.29,38,0,22,1
TVSMOTOR.NS,2.0,25.0,61,65.6,0.88,3.38,-3.9,6.9,-8.23,8.6,162179.3,62.18,7.82,27.13,0.29,38,0,22,1
TVSMOTOR.NS,2.0,15.0,61,65.6,0.88,3.38,-3.9,6.9,-8.23,8.6,162179.3,62.18,7.82,27.13,0.29,38,0,22,1
TVSMOTOR.NS,2.0,10.0,61,65.6,0.88,3.38,-3.9,6.9,-8.23,8.6,162179.3,62.18,7.82,27.13,0.29,38,0,22,1
BSE.NS,3.0,5.0,58,65.5,2.82,7.27,-5.64,21.88,-10.27,6.9,437183.31,337.18,25.81,19.3,1.34,38,17,3,0
BAJFINANCE.NS,2.0,5.0,46,65.2,0.92,3.76,-4.4,13.19,-13.21,8.4,145188.53,45.19,5.98,17.68,0.34,29,5,12,0
ASTERDM.NS,2.0,15.0,60,65.0,1.44,4.97,-5.11,17.06,-9.9,9.6,215293.0,115.29,12.68,24.96,0.51,40,0,19,1
ASTERDM.NS,2.0,25.0,60,65.0,1.44,4.97,-5.11,17.06,-9.9,9.6,215293.0,115.29,12.68,24.96,0.51,40,0,19,1
ASTERDM.NS,2.0,10.0,60,65.0,1.44,4.97,-5.11,17.06,-9.9,9.6,215293.0,115.29,12.68,24.96,0.51,40,0,19,1
